,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
0,0.5994,Sun Sep 02 20:11:42 +0000 2018,0.588,0.0,0.412,1,@BBC
1,0.0,Sun Sep 02 19:47:44 +0000 2018,1.0,0.0,0.0,2,@BBC
2,0.5719,Sun Sep 02 18:08:04 +0000 2018,0.802,0.0,0.198,3,@BBC
3,0.0,Sun Sep 02 17:06:04 +0000 2018,1.0,0.0,0.0,4,@BBC
4,0.128,Sun Sep 02 16:05:04 +0000 2018,0.797,0.092,0.112,5,@BBC
5,0.0,Sun Sep 02 15:24:46 +0000 2018,1.0,0.0,0.0,6,@BBC
6,-0.2263,Sun Sep 02 15:12:01 +0000 2018,0.84,0.16,0.0,7,@BBC
7,0.5106,Sun Sep 02 14:06:08 +0000 2018,0.549,0.161,0.29,8,@BBC
8,0.0772,Sun Sep 02 14:03:02 +0000 2018,0.944,0.0,0.056,9,@BBC
9,0.0,Sun Sep 02 13:03:02 +0000 2018,1.0,0.0,0.0,10,@BBC
10,-0.3818,Sun Sep 02 12:25:11 +0000 2018,0.825,0.175,0.0,11,@BBC
11,0.0,Sun Sep 02 12:24:18 +0000 2018,1.0,0.0,0.0,12,@BBC
12,0.743,Sun Sep 02 11:34:00 +0000 2018,0.73,0.0,0.27,13,@BBC
13,0.7684,Sun Sep 02 11:03:19 +0000 2018,0.712,0.0,0.288,14,@BBC
14,0.0,Sun Sep 02 10:20:05 +0000 2018,1.0,0.0,0.0,15,@BBC
15,-0.0516,Sun Sep 02 10:07:06 +0000 2018,0.893,0.107,0.0,16,@BBC
16,0.0,Sun Sep 02 09:09:03 +0000 2018,1.0,0.0,0.0,17,@BBC
17,-0.296,Sun Sep 02 08:11:03 +0000 2018,0.82,0.18,0.0,18,@BBC
18,0.0,Sun Sep 02 07:05:06 +0000 2018,1.0,0.0,0.0,19,@BBC
19,0.802,Sat Sep 01 19:55:23 +0000 2018,0.676,0.0,0.324,20,@BBC
20,-0.5859,Sat Sep 01 18:47:18 +0000 2018,0.798,0.202,0.0,21,@BBC
21,-0.4588,Sat Sep 01 18:09:04 +0000 2018,0.786,0.214,0.0,22,@BBC
22,0.6258,Sat Sep 01 17:02:06 +0000 2018,0.718,0.0,0.282,23,@BBC
23,0.128,Sat Sep 01 16:07:05 +0000 2018,0.88,0.0,0.12,24,@BBC
24,0.0,Sat Sep 01 15:02:06 +0000 2018,1.0,0.0,0.0,25,@BBC
25,0.5262,Sat Sep 01 14:43:14 +0000 2018,0.815,0.0,0.185,26,@BBC
26,0.7184,Sat Sep 01 14:10:03 +0000 2018,0.75,0.0,0.25,27,@BBC
27,0.4019,Sat Sep 01 13:04:05 +0000 2018,0.69,0.0,0.31,28,@BBC
28,0.6369,Sat Sep 01 12:06:02 +0000 2018,0.724,0.0,0.276,29,@BBC
29,-0.4767,Sat Sep 01 11:39:44 +0000 2018,0.846,0.154,0.0,30,@BBC
30,-0.2023,Sat Sep 01 11:39:34 +0000 2018,0.726,0.173,0.101,31,@BBC
31,0.0258,Sat Sep 01 11:05:04 +0000 2018,0.8,0.098,0.102,32,@BBC
32,0.0,Sat Sep 01 10:04:00 +0000 2018,1.0,0.0,0.0,33,@BBC
33,0.0,Sat Sep 01 09:04:02 +0000 2018,1.0,0.0,0.0,34,@BBC
34,0.0,Sat Sep 01 07:59:03 +0000 2018,1.0,0.0,0.0,35,@BBC
35,0.4215,Sat Sep 01 07:05:03 +0000 2018,0.823,0.0,0.177,36,@BBC
36,0.2023,Fri Aug 31 20:31:05 +0000 2018,0.814,0.078,0.109,37,@BBC
37,0.1027,Fri Aug 31 18:00:23 +0000 2018,0.667,0.156,0.178,38,@BBC
38,0.0,Fri Aug 31 15:59:04 +0000 2018,1.0,0.0,0.0,39,@BBC
39,-0.4201,Fri Aug 31 13:04:02 +0000 2018,0.72,0.193,0.087,40,@BBC
40,0.5423,Wed Aug 29 18:31:09 +0000 2018,0.594,0.123,0.283,41,@BBC
41,0.0,Wed Aug 29 17:27:04 +0000 2018,1.0,0.0,0.0,42,@BBC
42,0.3612,Wed Aug 29 16:00:22 +0000 2018,0.783,0.0,0.217,43,@BBC
43,0.0,Wed Aug 29 14:35:57 +0000 2018,1.0,0.0,0.0,44,@BBC
44,0.296,Wed Aug 29 13:01:06 +0000 2018,0.82,0.0,0.18,45,@BBC
45,0.0,Wed Aug 29 12:00:22 +0000 2018,1.0,0.0,0.0,46,@BBC
46,-0.6486,Wed Aug 29 10:48:29 +0000 2018,0.815,0.185,0.0,47,@BBC
47,0.0,Wed Aug 29 09:08:48 +0000 2018,1.0,0.0,0.0,48,@BBC
48,0.4939,Wed Aug 29 08:00:15 +0000 2018,0.775,0.0,0.225,49,@BBC
